# mesh name: boxMesh_1
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,0,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,6,0,0,0
0,0,7,0,0,0
0,0,8,0.51099891,0.2611198860211881,1
0,0,9,0,0,0
0,0,10,0,0,0
0,0,11,0,0,0
0,0,12,0,0,0
0,0,13,0,0,0
0,0,14,0,0,0
0,0,15,0,0,0
0,0,16,0,0,0
0,0,17,0,0,0
0,0,18,0,0,0
0,0,19,0,0,0
0,0,20,0,0,0
0,0,21,0,0,0
0,0,22,0,0,0
0,0,23,0,0,0
0,0,24,0,0,0
0,0,25,0,0,0
0,0,26,0,0,0
0,0,27,0,0,0
0,0,28,0,0,0
0,0,29,0,0,0
0,0,30,0,0,0
0,0,31,0,0,0
0,0,32,0,0,0
0,0,33,0,0,0
0,0,34,0,0,0
0,0,35,0,0,0
0,0,36,0,0,0
0,0,37,0,0,0
0,0,38,0,0,0
0,0,39,0,0,0
0,0,40,0,0,0
0,0,41,0,0,0
0,0,42,0,0,0
0,0,43,0,0,0
0,0,44,1.700535492137361,2.891820960018855,1
0,0,45,0,0,0
0,0,46,0,0,0
0,0,47,0.2805456758962732,0.07870587626409678,1
0,0,48,1.274852140207874,0.8593577880871462,2
0,0,49,0,0,0
0,0,50,0,0,0
0,0,51,0,0,0
0,0,52,0,0,0
0,0,53,0,0,0
0,0,54,0,0,0
0,0,55,0,0,0
0,0,56,0,0,0
0,0,57,0,0,0
0,0,58,0,0,0
0,0,59,0.0001027899839880695,1.056578080826759e-08,1
0,0,60,0.0002213023150759075,4.897471465795624e-08,1
0,0,61,0.0002413892326069104,5.82687616185531e-08,1
0,0,62,0.0001190236540384879,1.416663022067366e-08,1
0,0,63,0,0,0
0,0,64,0,0,0
0,0,65,0,0,0
0,0,66,0,0,0
0,0,67,0,0,0
0,0,68,0,0,0
0,0,69,0,0,0
0,0,70,0,0,0
0,0,71,0,0,0
0,0,72,0,0,0
0,0,73,0.3475469392531096,0.1207888749842047,1
0,0,74,0,0,0
0,0,75,0,0,0
0,0,76,0,0,0
0,0,77,0,0,0
0,0,78,0,0,0
0,0,79,0,0,0
0,0,80,0,0,0
0,0,81,0,0,0
0,0,82,0,0,0
0,0,83,0,0,0
0,0,84,0,0,0
0,0,85,0,0,0
0,0,86,0,0,0
0,0,87,0,0,0
0,0,88,0,0,0
0,0,89,0,0,0
0,0,90,0,0,0
0,0,91,0.3239242110641931,0.1049268945135599,1
0,0,92,0,0,0
0,0,93,0,0,0
0,0,94,0,0,0
0,0,95,0,0,0
0,0,96,0,0,0
0,0,97,0,0,0
0,0,98,0,0,0
0,0,99,0,0,0
0,1,0,0,0,0
0,1,1,0,0,0
0,1,2,0,0,0
0,1,3,0,0,0
0,1,4,0,0,0
0,1,5,0,0,0
0,1,6,0,0,0
0,1,7,0,0,0
0,1,8,0,0,0
0,1,9,0,0,0
0,1,10,0,0,0
0,1,11,0,0,0
0,1,12,0,0,0
0,1,13,0,0,0
0,1,14,0,0,0
0,1,15,0,0,0
0,1,16,0,0,0
0,1,17,0,0,0
0,1,18,0,0,0
0,1,19,0,0,0
0,1,20,0,0,0
0,1,21,0.493392081607573,0.2434357461930539,1
0,1,22,0,0,0
0,1,23,0,0,0
0,1,24,0,0,0
0,1,25,0,0,0
0,1,26,0,0,0
0,1,27,0,0,0
0,1,28,0,0,0
0,1,29,0,0,0
0,1,30,0,0,0
0,1,31,0,0,0
0,1,32,0,0,0
0,1,33,0,0,0
0,1,34,0,0,0
0,1,35,0,0,0
0,1,36,0,0,0
0,1,37,0,0,0
0,1,38,0,0,0
0,1,39,0,0,0
0,1,40,0,0,0
0,1,41,0,0,0
0,1,42,0,0,0
0,1,43,0,0,0
0,1,44,0,0,0
0,1,45,0.7622768321084694,0.5810659687693237,1
0,1,46,0,0,0
0,1,47,0,0,0
0,1,48,0,0,0
0,1,49,0,0,0
0,1,50,0.6838370495095254,0.4676331102818931,1
0,1,51,0,0,0
0,1,52,0,0,0
0,1,53,0,0,0
0,1,54,0,0,0
0,1,55,0,0,0
0,1,56,0,0,0
0,1,57,0,0,0
0,1,58,0,0,0
0,1,59,0.6906344733772464,0.4769759758170664,1
0,1,60,0.09002096549521689,0.008103774228691029,1
0,1,61,0,0,0
0,1,62,0,0,0
0,1,63,0.006683275876067318,4.466617643562338e-05,1
0,1,64,0,0,0
0,1,65,0,0,0
0,1,66,0,0,0
0,1,67,0,0,0
0,1,68,0,0,0
0,1,69,0,0,0
0,1,70,0,0,0
0,1,71,0,0,0
0,1,72,0,0,0
0,1,73,0,0,0
0,1,74,0,0,0
0,1,75,0,0,0
0,1,76,0,0,0
0,1,77,0,0,0
0,1,78,0,0,0
0,1,79,0,0,0
0,1,80,0,0,0
0,1,81,0,0,0
0,1,82,0,0,0
0,1,83,0,0,0
0,1,84,0,0,0
0,1,85,0,0,0
0,1,86,0,0,0
0,1,87,0,0,0
0,1,88,0,0,0
0,1,89,0,0,0
0,1,90,0,0,0
0,1,91,0,0,0
0,1,92,0,0,0
0,1,93,0,0,0
0,1,94,0,0,0
0,1,95,0,0,0
0,1,96,0,0,0
0,1,97,0,0,0
0,1,98,0,0,0
0,1,99,0,0,0
0,2,0,0,0,0
0,2,1,0,0,0
0,2,2,0,0,0
0,2,3,0,0,0
0,2,4,0,0,0
0,2,5,0,0,0
0,2,6,0,0,0
0,2,7,0,0,0
0,2,8,0,0,0
0,2,9,0,0,0
0,2,10,0,0,0
0,2,11,0,0,0
0,2,12,0,0,0
0,2,13,0,0,0
0,2,14,0,0,0
0,2,15,0,0,0
0,2,16,0,0,0
0,2,17,0,0,0
0,2,18,0,0,0
0,2,19,0,0,0
0,2,20,0,0,0
0,2,21,0,0,0
0,2,22,0,0,0
0,2,23,0,0,0
0,2,24,0,0,0
0,2,25,0,0,0
0,2,26,0,0,0
0,2,27,0,0,0
0,2,28,0,0,0
0,2,29,0,0,0
0,2,30,0,0,0
0,2,31,0,0,0
0,2,32,0,0,0
0,2,33,0.2318614690504044,0.05375974083021164,1
0,2,34,0,0,0
0,2,35,0,0,0
0,2,36,3.136622225703958,9.838398986780053,1
0,2,37,0.1300759339221147,0.01691974858571035,1
0,2,38,0,0,0
0,2,39,0,0,0
0,2,40,0,0,0
0,2,41,0,0,0
0,2,42,0,0,0
0,2,43,0,0,0
0,2,44,0,0,0
0,2,45,0,0,0
0,2,46,0,0,0
0,2,47,0,0,0
0,2,48,0,0,0
0,2,49,0,0,0
0,2,50,0.2703045207543708,0.0730645339402501,1
0,2,51,0,0,0
0,2,52,0,0,0
0,2,53,0,0,0
0,2,54,0,0,0
0,2,55,0,0,0
0,2,56,0.1590459044114949,0.02529559971007038,1
0,2,57,0,0,0
0,2,58,0.3870431838157889,0.1498024261382626,1
0,2,59,0,0,0
0,2,60,0,0,0
0,2,61,0,0,0
0,2,62,0.02014178302695946,0.0004056914235051121,1
0,2,63,0,0,0
0,2,64,0,0,0
0,2,65,0,0,0
0,2,66,0,0,0
0,2,67,0,0,0
0,2,68,0,0,0
0,2,69,0,0,0
